,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
Author,year,doi,title,journal,url,keywords,"open data (yes, no)","open code (yes, no)","open material (yes, no)",preregistration yes/no,"longitudinal design (LD), cross-sectional design (CD), unclear",n_with_exclusions,n_female_total,age_mean_total,age_sd_total,"mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)",HR (BPM),HRV,EMG orbicularis oculi,EMG startle,SCR,SCL,EYE tracking,PUPIL SIZE,"specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)",is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no,which rationale? (e.g. guideline/ ref/ not reported),"was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)",reviewer_ID,comment
"Starita, Francesca and Pirazzini, Gabriele and Ricci, Giulia and Garofalo, Sara and Dalbagno, Daniela and Degni, Luigi A. E. and Di Pellegrino, Giuseppe and Magosso, Elisa and Ursino, Mauro",2023,10.1111/psyp.14247,Theta and alpha power track the acquisition and reversal of threat predictions and correlate with skin conductance response,Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2023-36798-001&site=ehost-live,Galvanic Skin Response;fear conditioning;skin conductance;Electroencephalography;EEG;Threat;Conditioned Fear;Alpha Rhythm;brain oscillations;Oscillatory Network;reversal;Reversal Shift Learning;Theta Rhythm;threat of shock,yes,no,no,no,LD,21,13,23.48,1.85,not reported,group,,dependent variable,"Q-Q plots, Shapiro Wilks test",not reported,not reported,,yes,Greenhouse-Geisser correction,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,z,NA,NA,NA,Z transformation.,yes,guideline,trial-level,within,two,ANOVA,rmANOVA,3,Carlos
"Soeter, Marieke and Kindt, Merel",2015,,Retrieval cues that trigger reconsolidation of associative fear memory are not necessarily an exact replica of the original learning experience,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-31639-001&site=ehost-live,Fear;Amygdala;anxiety disorders;Cues;Anxiety;Memory;Memory Consolidation;fear memory;reconsolidation;abstract retrieval;learning history;updating,no,no,no,no,CD,30,22,20.9,3.4,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,yes,trials,2.5SD,NA,NA,NA,raw,NA,NA,NA,NA,NA,no,NA,NA,mixed,two,ANOVA,rmANOVA,3,
"Thome, Janine and Koppe, Georgia and Hauschild, Sophie and Liebke, Lisa and Schmahl, Christian and Lis, Stefanie and Bohus, Martin",2016,10.1371/journal.pone.0161044,Modification of fear memory by pharmacological and behavioural interventions during reconsolidation,PLoS ONE,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-40971-001&site=ehost-live,Female;Humans;Fear;Adult;Young Adult;Conditioned Fear;Memory;Intervention;Memory Consolidation;memory reconsolidation;Phobic Disorders;differential fear conditioning;Behavior Therapy;Electroshock;Propranolol;Pharmacology;behavioral interventions;Drug Therapy;fear memory modification;pharmacological interventions,no,no,no,no,CD,80,80,25.21,11.68,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,yes,trials,Z>3,NA,NA,NA,t,sqrt,NA,NA,NA,t-score for startle; square-root-transformed for SCR,yes,previous publications,trial-level,mixed,two,ANOVA,rmANOVA,3,
"Sjouwerman, Rachel and Niehaus, Johanna and Lonsdorf, Tina B.",2015,,Contextual change after fear acquisition affects conditioned responding and the time course of extinction learning—Implications for renewal research,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-19698-001&site=ehost-live,Fear;fear conditioning;Skin Resistance;Extinction (Learning);fear extinction;fear potentiated startle;context;Physiology;skin conductance response (SCR);subjective fear ratings,no,no,no,no,CD,216,135,25,4,yes,group,,not reported,,not reported,not reported,,yes,Greenhouse-Geisser correction,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,t,log,NA,NA,NA,t-score for startle; slog transformed and range corrected (SCR/SCRcs_or_US_max) for SCR,yes,guidelines,trial-level,mixed,two,ANCOVA,ANOVA_multivariat,3,
"Soeter, Marieke and Kindt, Merel",2013,10.1371/journal.pone.0075239,High trait anxiety: A challenge for disrupting fear memory reconsolidation,PLoS ONE,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-01309-001&site=ehost-live,Female;Humans;Male;Fear;Adult;anxiety disorders;Anxiety Disorders;fear conditioning;Anxiety;Conditioned Fear;Memory;trait anxiety;Memory Consolidation;Propranolol;Adrenergic beta-Antagonists;fear memory reconsolidation;pharmacy;propranolol HCl pills,no,no,no,no,LD,107,82,20.6,3.3,yes,both,trait anxiety,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,raw,NA,NA,NA,NA,NA,NA,NA,NA,mixed,two,ANCOVA,other,3,
Tabbert K and Stark R and Kirsch P and Vaitl D,2006,10.1016/j.neuroimage.2006.03.038,Dissociation of neural responses and skin conductance reactions during fear conditioning with and without awareness of stimulus contingencies.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/16651009/,"Female;Humans;Male;Adult;Brain Mapping;Conditioning, Classical/*physiology;Fear/*physiology;Awareness/*physiology;Amygdala/physiology;Arousal/physiology;*Knowledge of Results, Psychological;Association Learning/*physiology;Galvanic Skin Response/*physiology;Pattern Recognition, Visual/*physiology;Heart Block;Cerebellum/physiology;*Magnetic Resonance Imaging;Dominance, Cerebral/physiology;Cerebral Cortex/*physiology;*Image Processing, Computer-Assisted;Synaptic Transmission/physiology",no,no,no,no,CD,41,22,22.25,2.38,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,mixed,two,ANOVA,,3,
"Sevenster, Dieuwke and Beckers, Tom and Kindt, Merel",2014,,Fear conditioning of SCR but not the startle reflex requires conscious discrimination of threat and safety,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-10403-001&site=ehost-live,Learning;fear conditioning;skin conductance response;Conditioning;threat;Threat;Skin Resistance;Conditioned Fear;Safety;startle reflex;Startle Reflex;Responses;contingency learning;safety;Discrimination (Psychology);H-Reflex,no,no,no,no,CD,37,17,21.73,2.31,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,yes,trials,Z>3,NA,NA,NA,raw,raw,NA,NA,NA,SCR were mean corrected. The mean value used for correction was based on the eight conditioning trials. ,yes,previous publications,not clearly reported,mixed,one,ANOVA,ANOVA_univariat,3,
Schiller D and Cain CK and Curley NG and Schwartz JS and Stern SA and Ledoux JE and Phelps EA,2008,10.1101/lm.909208,Evidence for recovery of fear following immediate extinction in rats and humans.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/18509113/,"Female;Humans;Time Factors;Galvanic Skin Response;Male;Adolescent;Animals;Adult;Habituation, Psychophysiologic;Photic Stimulation;Rats;Rats, Sprague-Dawley;Conditioning, Classical/*physiology;Fear/*physiology;Electroshock;Random Allocation;Reinforcement Schedule;Extinction, Psychological/*physiology;Humanism;Humanities;Freezing Reaction, Cataleptic/physiology",no,no,no,no,LD,40,18,,,not reported,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,sqrt,NA,NA,NA,Normalized scores were scaled according to each subjects's UR by dividing each response by the mean sqrt-transformed US response. ,yes,previous publications,trial-level,within,one,t-test,,3,
"Taylor, Veronique A. and Chang, Luke and Rainville, Pierre and Roy, Mathieu",2017,10.1097/j.pain.0000000000000948,Learned expectations and uncertainty facilitate pain during classical conditioning,Pain,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-32694-017&site=ehost-live,Learning;Fear conditioning;Uncertainty;Classical Conditioning;Expectations;Pain;Pain Perception;Nociception;Nociceptive flexion reflex;Reinforcement learning models,no,no,no,no,LD,47,22,,,yes,group,,not reported,,not reported,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,raw,NA,NA,NA,"General linear model-based approach, convolving a standard canonical SCR basis function",no,NA,trial-level,within,NA,computational modeling,,3,
