,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
Author,year,doi,title,journal,url,keywords,"open data (yes, no)","open code (yes, no)","open material (yes, no)",preregistration yes/no,"longitudinal design (LD), cross-sectional design (CD), unclear",n_with_exclusions,n_female_total,age_mean_total,age_sd_total,"mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)",HR (BPM),HRV,EMG orbicularis oculi,EMG startle,SCR,SCL,EYE tracking,PUPIL SIZE,"specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)",is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no,which rationale? (e.g. guideline/ ref/ not reported),"was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)",reviewer_ID,comment
"Imholze, Celina and Hutterer, Katharina and Gall, Dominik and Dannlowski, Udo and Domschke, Katharina and Leehr, Elisabeth J. and Lonsdorf, Tina B. and Lueken, Ulrike and Reif, Andreas and Rosenkranz, Karoline and Schiele, Miriam A. and Zwanzger, Peter and Pauli, Paul and Gamer, Matthias",2023,10.1027/2151-2604/a000523,Prediction of changes in negative affect during the COVID-19 pandemic by experimental fear conditioning and generalization measures: A longitudinal study,Zeitschrift für Psychologie,https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2023-82963-007&site=ehost-live,Longitudinal Studies;Anxiety Disorders;fear conditioning;COVID-19;Threat;Conditioned Fear;generalization;Negative Emotions;Individual Differences;Major Depression;negative affect;longitudinal;Pandemics,no,no,no,no,CD,441,286,24.96,5.91,partially,both,multiple (anxiety and depression),not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,log,NA,NA,NA,"each participant’s response was range-corrected (i.e., divided by the participant’s strongest response to a facial stimulus) and logtransformed to reduce the skew of the amplitude distribution.",no,NA,not reported,,,,,13,"Maria Meier; Lonsdorf et al., 2019 for electrodermal non responding, but no reference for transformation; I don't find the main effect of acquisition being reported"
"Jellestad, Lena and Zeffiro, Thomas and Piccirelli, Marco and Malamud, Jolanda and Klimke, Benedikt B. M. and Rauen, Katrin and Rufer, Michael and Orr, Scott P. and Mueller-Pfeiffer, Christoph",2021,10.1016/j.ijpsycho.2021.04.006,Interfering with fear memories by eye movement desensitization and reprocessing,International Journal of Psychophysiology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-65357-004&site=ehost-live,Galvanic Skin Response;Fear;Fear conditioning;Skin conductance;Conditioned Fear;Memory;Posttraumatic Stress Disorder;Eye Movements;Memory Consolidation;Arachnida;Eye Movement Desensitization Therapy;Memory consolidation;Memory reconsolidation;Posttraumatic stress disorder (PTSD),no,no,no,no,CD,,,23.76,5.17,not reported,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,NA,NA,NA,,no,NA,not reported,mixed,2,linear mixed model with random effect,other,13,numbers in Table 1 don't make sense (percent female and overall N)
Hugdahl K and Ohman A,1977,,Effects of instruction on acquisition and extinction of electrodermal responses to fear-relevant stimuli.,Journal of experimental psychology. Human learning and memory,https://pubmed.ncbi.nlm.nih.gov/894220/,"Female;Humans;Galvanic Skin Response;Male;Adult;Middle Aged;Electroshock;Visual Perception;Conditioning, Operant;*Galvanic Skin Response;*Conditioning, Psychological;*Extinction, Psychological;*Fear;Phobic Disorders/etiology",no,no,no,no,CD,56,41,,,not reported,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,NA,NA,NA,,no,NA,not reported,mixed,10,ANOVA,rmANOVA,13,experiment 1; age range: 20-50 but no mean and SD given;
Hugdahl K and Ohman A,1977,,Effects of instruction on acquisition and extinction of electrodermal responses to fear-relevant stimuli.,Journal of experimental psychology. Human learning and memory,https://pubmed.ncbi.nlm.nih.gov/894220/,"Female;Humans;Galvanic Skin Response;Male;Adult;Middle Aged;Electroshock;Visual Perception;Conditioning, Operant;*Galvanic Skin Response;*Conditioning, Psychological;*Extinction, Psychological;*Fear;Phobic Disorders/etiology",no,no,no,no,CD,30,19,,,not reported,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,not reported,NA,NA,NA,,no,NA,not reported,mixed,10,ANOVA,rmANOVA,13,experiment 2; age range: 20-45 but no mean and SD given;
Hugdahl K,1979,10.1016/0301-0511(79)90056-5,Direction of changes in the cardiac component in a Pavlovian conditioning paradigm with variations in CS- and UCS-contents.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/540114/,"Female;Humans;Male;Models, Psychological;Adult;Middle Aged;Conditioning, Classical/*physiology;Electroshock;*Heart Rate;Extinction, Psychological/physiology;Fear/physiology;Phobic Disorders/*physiopathology;Stress, Psychological/*physiopathology",no,no,no,no,CD,40,22,,,not reported,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,not reported,NA,NA,NA,NA,NA,NA,NA,,no,NA,not reported,mixed,10,ANOVA,rmANOVA,13,age range: 19-22
"Hoge, Elizabeth and Bui, Eric and Rosencrans, Peter and Orr, Scott and Ross, Rachel and Ojserkis, Rebecca and Simon, Naomi",2019,10.1136/gpsych-2019-100131,Influence of intranasal oxytocin on fear consolidation in healthy humans,General Psychiatry,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-52366-003&site=ehost-live,Humans;Conditioned Fear;Extinction (Learning);fears;Memory Consolidation;Treatment;Oxytocin;psychiatry;Humanism;Humanities;drugs;Drugs;intranasal oxytocin;MSH Release-Inhibiting Hormone,no,no,no,no,CD,30,14,30.9,15.25,yes,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,sqrt,NA,NA,NA,The differential SCR values were square root-transformed to achieve normality prior to analyses.,no,NA,not reported,mixed,5,ANOVA,rmANOVA,13,
"Kausche, Franziska Magdalena and Zerbes, Gundula and Kampermann, Lea and Müller, Jana Christina and Wiedemann, Klaus and Büchel, Christian and Schwabe, Lars",2021,10.1016/j.euroneuro.2020.11.015,Noradrenergic stimulation increases fear memory expression,European Neuropsychopharmacology,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-00346-001&site=ehost-live,Hydrocortisone;Fear;Cortisol;Conditioned Fear;Stimulus Generalization;Memory;Physiological Arousal;Stimulation;Fear generalization;glucocorticoids;Yohimbine;Androgens;Fear expression;hydrocortisone;Noradrenaline;noradrenergic stimulation;Pharmacological manipulation,no,no,no,no,CD,136,68,25.41,0.36 (SE),yes,group,,not reported,,NA,not reported,,yes,"If the sphericity assumption was violated, Greenhouse-Geisser correction was applied.",not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,z,NA,NA,NA,"To correct for inter-individual differences, SCRs were z-transformed (zSCRs) separately for the three different phases (Ben-Shakhar, 1985).",yes,"Ben-Shakhar, G., 1985. Standardization within individuals: a simple method to neutralize individual differences in skin conductance. Psychophysiology 22 (3), 292–299.",average-level,mixed,4,ANOVA,rmANOVA,13,
"Hermann, Andrea and Küpper, Yvonne and Schmitz, Anja and Walter, Bertram and Vaitl, Dieter and Hennig, Jürgen and Stark, Rudolf and Tabbert, Katharina",2012,10.1371/journal.pone.0044352,Functional gene polymorphisms in the serotonin system and traumatic life events modulate the neural basis of fear acquisition and extinction,PLoS ONE,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-25142-001&site=ehost-live,"Fear;Amygdala;Stress;Polymorphism, Genetic;Trauma;Polymorphism;Extinction (Learning);Neurobiology;Insula;Cingulate Cortex;Serotonin;Genes;neurobiology;fear acquisition extinction;functional gene polymorphisms;neural basis;serotonin system;traumatic life events",no,no,no,no,CD,74,37,24.38,4.14,yes,both,"traumatic life events, life event checklist",not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,log,NA,NA,NA,Data were logarithmically transformed (natural logarithm) in order to attain statistical normality.,no,NA,not reported,,,ANOVA,,13,troubles extracting the stats data
"Huff, Nicole C. and Hernandez, Jose Alba and Fecteau, Matthew E. and Zielinski, David J. and Brady, Rachael and LaBar, Kevin S.",2011,10.3389/fnbeh.2011.00075,Revealing context-specific conditioned fear memories with full immersion virtual reality,Frontiers in Behavioral Neuroscience,https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-28821-001&site=ehost-live,Hippocampus;Conditioned Fear;Memory;conditioned fear;virtual reality;Virtual Reality;memories;Immersion;cognitive neuroscience,no,no,no,no,CD,58,30,19,,not reported,group,,not reported,,NA,not reported,,not reported,,not reported,,not reported,,not reported,,no,NA,,NA,NA,NA,NA,"sqrt, z",NA,NA,NA,"Because SCR data is typically skewed toward zero, the data were square-root transformed prior to statistical analysis to attain a normal distribution. (...) Data were normalized by dividing each value by the participants’ own maximum US response to account for individual variations in responding and minimize group differences in overall arousal levels. ",no,NA,not reported,mixed,3,ANOVA,rmANOVA,13,SD for age not given; 
